route,tree,section,has_v2_counterpart,notes
/python-sdk/fastmcp-exceptions,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-mcp_config,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-prompts-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-prompts-function_prompt,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-prompts-prompt,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-resources-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-resources-function_resource,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-resources-resource,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-resources-template,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-resources-types,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-apps,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-auth,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-authorization,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-cimd,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-jwt_issuer,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-middleware,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oauth_proxy-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oauth_proxy-consent,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oauth_proxy-models,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oauth_proxy-proxy,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oauth_proxy-ui,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-oidc_proxy,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-__init__,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-auth0,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-aws,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-azure,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-debug,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-descope,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-discord,python-sdk,python-sdk,n/a,API reference page
/python-sdk/fastmcp-server-auth-providers-github,python-sdk,python-sdk,n/a,API reference page
